"MOVIE_ID","DIRECTOR_NAME","GENRE","MOVIE_NAME","RATING","SUMMARY","YEAR"
"16","Martin Scorsese","Drama","Raging Bull","8.2","A middleweight ascends through the ranks to achieve his first shot at a boxing title. But his personal life, laden with paranoia, jealousy and rage, scuttles his professional growth.","1980"
"17","Martin Scorsese","Comedy","The King of Comedy","7.8","Mediocre aspiring comedian Rupert Pupkin believes that one appearance on the evening talk show of the Johnny Carson-esque Jerry Langford will be his ticket to stardom","1982"
"18","Martin Scorsese","Drama","After Hours","7.7","A New York office worker has a very strange night when he ventures for a late night date with a woman he just met. It turns into a nightmare as he finds himself in farcical circumstances.","1985"
"19","Martin Scorsese","Drama","The Color of Money","7","Fast Eddie Felson teaches a cocky but immensely talented prot¿g¿ the ropes of pool hustling, which in turn inspires him to make an unlikely comeback.","1986"
"20","Martin Scorsese","Drama","The Last Temptation of Christ","7.6","The life of Jesus Christ, his journey through life as he faces the struggles all humans do, and his final temptation on the cross.","1988"
"21","Martin Scorsese","Drama","Goodfellas","8.7","The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate.","1990"
"22","Martin Scorsese","Thriller","Cape Fear","7.3","A convicted rapist, released from prison after serving a fourteen-year sentence, stalks the family of the lawyer who originally defended him.","1991"
"23","Martin Scorsese","Drama","The Age of Innocence","7.2","A tale of nineteenth-century New York high society in which a young lawyer falls in love with a woman separated from her husband, while he is engaged to the woman's cousin.","1993"
"24","Martin Scorsese","Drama","Casino","8.2","A tale of greed, deception, money, power, and murder occur between two best friends: a mafia enforcer and a casino executive, compete against each other over a gambling empire, and over a fast living and fast loving socialite.","1995"
"25","Martin Scorsese","Drama","Kundun","7","From childhood to adulthood, Tibet's fourteenth Dalai Lama deals with Chinese oppression and other problems.","1997"
"26","Martin Scorsese","Drama","Gangs of New York","7.5","In 1862, Amsterdam Vallon returns to the Five Points area of New York City seeking revenge against Bill the Butcher, his father's killer.","2002"
"27","Martin Scorsese","Drama","The Aviator","7.5","A biopic depicting the early years of legendary Director and aviator Howard Hughes' career from the late 1920s to the mid 1940s.","2004"
"56","Steven Spielberg","Action","Ready Player One","7.5","When the creator of a virtual reality called the OASIS dies, he makes a posthumous challenge to all OASIS users to find his Easter Egg, which will give the finder his fortune and control of his world.","2018"
